D88,D27,D14,D33,D36,D45,D57,D63,D54
179.2545,-86.5042,179.6727,-177.5109,-166.9991,-167.4166,-88.3217,163.4215,155.3016
173.5542,-86.2304,-177.9687,178.245,69.4935,63.8709,-164.5262,173.3236,47.1884
-172.905,-91.8101,21.9873,-97.9833,-158.4457,-169.1742,159.8267,62.4178,155.1339
174.0085,-86.225,179.0455,-177.9163,177.9347,62.4873,-171.0945,-55.9658,-49.0762
173.0557,92.6452,1.3351,177.9503,-67.5751,-61.4556,-171.685,166.6977,-170.4835
179.4512,86.79,178.3218,-177.3817,-167.2787,-167.476,-88.3247,163.4611,155.2938
179.6624,-91.4089,-1.86,86.2958,-176.3546,70.2774,-163.1556,173.8084,-48.8236
179.1703,-86.5164,179.5626,-177.3842,-166.7918,-170.0228,162.2069,-70.4006,156.3086
-173.8886,86.236,-178.5863,178.6419,69.7354,63.9123,-163.9656,173.306,47.6852
-170.8182,-90.759,-28.7273,102.3887,46.9083,-167.0963,-87.7175,163.8349,152.7137
-170.8192,87.4053,152.2633,102.3891,46.9085,-167.0966,-87.7174,163.8355,152.714
-173.8411,85.9868,178.164,-177.33,178.325,62.8517,-171.0754,-55.9629,-48.6365
173.0751,-86.022,-178.8678,177.9456,-67.5723,-61.4569,-171.6803,166.6962,-170.4778
-179.8991,-91.5183,-1.4947,86.5459,-177.2454,70.1349,-171.2072,76.9579,-48.3219
173.5562,-86.2308,-177.9684,178.2452,69.4937,63.8711,-164.5262,173.324,47.1883
175.5803,92.0354,-0.9295,85.7093,-175.8214,70.2796,-163.4714,173.8725,-50.3012
175.5124,92.5531,2.1064,177.1446,52.8062,-171.6709,162.2829,-70.1893,156.6096
-172.9203,-91.7933,21.9661,-97.9731,-158.4414,-169.179,159.8287,62.4151,155.1443
174.0199,92.4912,-1.2225,-177.9123,177.9356,62.4854,-171.1202,-55.9744,-49.0718
-173.8614,85.9842,178.179,-177.3459,178.3254,62.8492,-171.0685,-55.9664,-48.6411
